Date,Germany,Spain,France,Italy,UK,US,Japan
01/01/1997,543554.1,186181,389758.4,357399.9,302874.8,11284.587,457423.4
01/04/1997,551165.3,187882,394194.8,362296.7,305551.9,11472.137,454455.1
01/07/1997,553358.4,189782,397148.2,364466.4,307051,11615.636,455466.5
01/10/1997,557228.5,192523,401501.5,370537.9,310235.6,11715.393,455651.7
01/01/1998,561679.1,194436,405005.6,368036,312592.5,11832.486,450437.6
01/04/1998,560002,195906,408633.3,369432.6,315426.9,11942.032,448656.8
01/07/1998,561421.1,198255,411581.9,369998.5,317778.3,12091.614,449431.6
01/10/1998,561227.6,200338,414720.8,368314,320870.1,12287,452953.4
01/01/1999,565742.7,201961,416901.3,370448.6,322683,12403.293,447110.6
01/04/1999,567032.7,205006,420362.9,371954.8,322883.2,12498.694,448737.4
01/07/1999,572837.8,207455,425398.2,375123.5,328645.7,12662.385,451257.5
01/10/1999,579997.5,209896,431182.3,380482.2,333163.8,12877.593,451524.9
01/01/2000,585431.6,213243,435267,384816.8,335975.5,12924.179,460008.8
01/04/2000,591494.9,215860,439390.4,387503.2,338029.5,13160.842,460958.7
01/07/2000,590656.4,218203,442224.9,389627.4,338978.2,13178.419,461321.7
01/10/2000,591107.9,220611,445791.8,395806.7,339542.2,13260.506,465825.6
01/01/2001,600702.5,222813,448226.4,397164.9,344025.8,13222.69,468256.8
01/04/2001,601347.5,224584,448797.4,396177.8,346732.9,13299.984,466034.9
01/07/2001,599541.5,226819,450491.9,394551.8,349316.2,13244.784,461299.1
01/10/2001,600251,228427,450623.3,394695.4,350872.6,13280.859,459897.9
01/01/2002,598444.9,229727,451868.6,394422.9,352539.1,13397.002,460601.7
01/04/2002,599928.5,231454,454280.1,396215.9,354864.1,13478.152,464069.1
01/07/2002,602702,232854,455881.9,397202.7,357553.9,13538.072,465577.6
01/10/2002,601412,234603,456070.3,398619.6,360760.4,13559.032,466796.1
01/01/2003,594203.9,236918,456611.3,397516.1,363131.8,13634.253,467057.2
01/04/2003,594332.9,238527,455639.4,396173.7,366569.3,13751.543,470068
01/07/2003,597235.6,240164,458798.5,396784,370317.9,13985.073,471932.3
01/10/2003,599428.6,242630,462403.1,399809.9,373309.7,14145.645,477139.2
01/01/2004,599283.5,244104,466398.9,401660.7,375352.7,14221.147,480831.1
01/04/2004,601412,245998,469440.2,402999.4,376790.9,14329.523,480545.7
01/07/2004,600251,248476,471073.9,403484.1,377412.1,14464.984,483576.9
01/10/2004,600831.5,250005,474543.2,404011.1,378363.6,14609.876,482575.5
01/01/2005,599735,252534,475715.1,403041.6,381950.3,14771.602,484812.1
