name,euro1900,excolony,avexpr,gdp,cons1,cons90,democ00a,cons00a,extmort4,logem4,loghjypl,baseco
PER,30.000002,1,5.7727275,4429.996177,1,7,4,3,71,4.26268,-1.4396951,1
PHL,1,1,5.4545455,3290.000514,3,7,0,1,,,-2.0714734,
PNG,0,1,7.2727275,1,7,7,0,1,170,5.1357985,-2.5510464,
POL,100,0,7.681818,5739.997191,,,,,,,-1.4354845,
PRK,0,0,,1,,,,,,,,
PRT,100,0,9.181818,13219.9985,,,,,,,-1.005122,
PRY,25,1,6.9545455,3670.000216,1,5,1,2,78.1,4.3579903,-1.7719568,1
QAT,0,1,7.7272725,16079.99127,,,,,,,,
ROM,100,0,7.2727275,4390.002168,,,,,,,-2.1803675,
RUS,100,0,8.454545,4470.001396,,,,,,,-0.8746691,
RWA,0,1,,650.0001541,1,1,0,1,280,5.6347895,-3.1465552,
SAU,0,1,7.590909,10300.00851,,,,,,,-0.638659,
SDN,0,1,4,1490.000002,7,1,0,1,88.2,4.479607,-2.7030625,1
SEN,0,1,6,1639.999966,3,3,0,1,164.66,5.103883,-2.6310892,1
SGP,4,1,9.318182,25500.00686,7,3,0,1,17.7,2.8735647,-0.5008753,1
SLE,0,1,5.818182,520.000098,,3,,,483,6.1800165,-2.748872,1
SLV,20,1,5,2830.000026,3,,,3,78.1,4.3579903,-1.8515095,1
SOM,0,1,3,1,7,1,0,1,,,-3.015935,
STP,100,1,8.409091,1,,,,,,,,
SUR,1,,4.681818,3010.917113,,,,1,32.18,3.4713452,-1.3704209,
SVK,100,0,,6990.001152,,,,,,,,
SVN,,0,,10939.99917,,,,,,,,
SWE,100,0,9.5,19269.98533,,,,,,,-0.23952703,
SWZ,0,1,,3319.999794,2,1,0,1,,,-1.8078889,
SYR,0,1,5.818182,3070.000489,,,,,,,-0.8255364,
TCD,0,1,,930.0000129,1,1,0,1,280,5.6347895,-3.4420192,
TGO,0,1,6.909091,1369.999974,3,1,0,1,668,6.504288,-3.218876,1
THA,0,0,7.6363635,6469.997493,,,,,140,4.9416423,-1.8515095,
TJK,,0,,980.0001258,,,,,,,,
TKM,,0,,2080.000473,,,,,,,,
TTO,40,1,7.4545455,6430.001175,7,7,0,1,85,4.4426513,-0.69715524,1
TUN,3,1,6.4545455,4830.001224,1,3,0,1,63,4.1431346,-1.5278579,1
TUR,0,0,7.4545455,5659.999031,,,,,,,-1.5232602,
TWN,0,0,9.227273,1,,,,,,,-0.809681,
TZA,0,1,6.6363635,520.000098,3,3,0,1,145,5.6347895,-3.4420192,1
UGA,0,1,4.4545455,1060.000226,7,3,0,1,280,5.6347895,-3.4420192,1
UKR,100,0,,2470.000421,,,,,,,,
URY,60.000004,1,7,8360.002457,1,3,1,1,71,4.26268,-1.0788096,1
USA,87.5,1,10,27329.99238,7,7,10,7,15,2.7080503,0,1
UZB,,0,,2459.999929,,,,,,,,
VEN,20,1,7.1363635,8699.99735,1,3,1,3,78.1,4.3579903,-0.7031975,1
VNM,0,1,6.409091,1450.000239,1,3,0,1,140,4.9416423,,1
YEM,0,1,6.3636365,769.9999116,,,,,,,-1.551169,
YUG,100,0,6.318182,1,,,,,,,-1.2039728,
ZAF,22,1,6.8636365,7229.997721,3,7,3,3,15.5,2.74084,-1.3862944,1
ZAR,8,1,3.5,960.0000149,1,1,0,1,240,5.480639,-3.4112477,1
ZMB,3,1,6.6363635,910.0000004,3,1,0,1,,,-2.9759297,
ZWE,7.2,1,6,2200.000793,7,3,0,1,,,-2.7333682,
